over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,2,0,2,0,19,2.0,0.0,128.18756015954116,7.5852272727272725,True,False,False
1,3,0,5,0,18,2.5,0.0,128.18756015954116,8.282229965156795,True,False,False
2,16,0,21,0,17,7.0,0.0,128.18756015954116,7.5852272727272725,True,False,False
3,17,0,38,0,16,9.5,0.0,128.18756015954116,9.862068965517242,True,False,False
4,9,0,47,0,15,9.4,2.5,128.18756015954116,8.880733944954128,True,False,False
5,5,1,52,1,14,8.666666666666666,4.6,130.50424499932714,8.282229965156795,True,False,False
6,10,0,62,1,13,8.857142857142858,1.1666666666666679,130.64494688617734,8.880733944954128,False,True,False
7,7,2,69,3,12,8.625,-1.3571428571428577,132.08532092478902,7.920473773265652,False,True,False
8,7,0,76,3,11,8.444444444444445,-2.791666666666667,133.52569496340072,9.444444444444445,False,True,False
9,4,0,80,3,10,8.0,-1.4444444444444446,133.52569496340072,7.920473773265652,False,True,False
10,11,0,91,3,9,8.272727272727273,-3.0,133.52569496340072,9.444444444444445,False,True,False
11,5,0,96,3,8,8.0,-0.9393939393939403,133.52569496340072,7.920473773265652,False,True,False
12,7,0,103,3,7,7.923076923076923,-1.333333333333333,133.52569496340072,7.5852272727272725,False,True,False
13,5,0,108,3,6,7.714285714285714,-0.2564102564102564,133.52569496340072,8.880733944954128,False,True,False
14,11,0,119,3,5,7.933333333333334,-2.0476190476190474,133.52569496340072,9.862068965517242,False,True,False
15,14,1,133,4,4,8.3125,-0.2666666666666666,131.86822980639573,8.282229965156795,False,False,True
16,6,0,139,4,3,8.176470588235293,1.1875,126.68285284774366,8.880733944954128,False,False,True
17,19,0,158,4,2,8.777777777777779,1.6568627450980404,126.68285284774366,7.920473773265652,False,False,True
18,15,0,173,4,1,9.105263157894736,3.7222222222222214,126.68285284774366,9.862068965517242,False,False,True
19,4,2,177,6,0,8.85,4.228070175438598,134.70776048435437,8.282229965156795,False,False,True
